TransID,Xiamen.经度,Xiamen.纬度,combine
3404360,118.1353318,24.49927028,"118.135331842696,24.499270279017999"
3184773,118.164829,24.48680157,"118.164829031796,24.486801572274899"
3190307,118.16512,24.48620547,"118.165120003243,24.4862054710118"
547795,118.0990714,24.47827442,"118.099071369594,24.4782744198111"
540008,118.11182,24.50636934,"118.11182000161899,24.506369342256601"
790422,118.0979811,24.5052163,"118.09798108233601,24.5052163042361"
23010,118.0990714,24.47827442,"118.099071369594,24.4782744198111"
34487,118.0893482,24.45469499,"118.089348171545,24.454694986136701"
31102,118.1599148,24.49970615,"118.15991483216099,24.499706150905698"
31166,118.0892731,24.45473405,"118.08927306995299,24.454734052807101"
23743,118.0892731,24.45473405,"118.08927306995299,24.454734052807101"
7133,118.0990714,24.47827442,"118.099071369594,24.4782744198111"
7134,118.0990714,24.47827442,"118.099071369594,24.4782744198111"
6637,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
7634,118.0990714,24.47827442,"118.099071369594,24.4782744198111"
7601,118.0990714,24.47827442,"118.099071369594,24.4782744198111"
7553,118.0990714,24.47827442,"118.099071369594,24.4782744198111"
13396,118.1118555,24.4751358,"118.11185545012,24.4751357959356"
4466,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
4325,118.0393822,24.49034641,"118.039382189162,24.490346409879098"
4161,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
5146,118.0990714,24.47827442,"118.099071369594,24.4782744198111"
5144,118.0990714,24.47827442,"118.099071369594,24.4782744198111"
2904,118.1693415,24.48190895,"118.16934154501099,24.4819089491635"
2918,118.1640516,24.4843441,"118.164051603658,24.4843441019433"
2927,118.1227244,24.4712903,"118.122724386399,24.471290303154301"
2542,118.103414,24.58441681,"118.103414002844,24.584416813174499"
5304,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
4091,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
4131,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
4141,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
4144,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
4484,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
4705,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
3989,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
4148,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
4173,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
4174,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
4175,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
4176,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
4183,118.0869033,24.45722832,"118.08690329826101,24.457228318400201"
5143,118.0990714,24.47827442,"118.099071369594,24.4782744198111"
180,118.1346416,24.49314947,"118.13464164176099,24.493149466021102"
1416830,118.150291,24.736077,"118.150291,24.736077"
3405558,118.100265,24.468353,"118.100265,24.468353"
2238842,118.17578,24.504148,"118.175780,24.504148"
3405536,118.076815,24.465291,"118.076815,24.465291"
3405515,118.177223,24.510531,"118.177223,24.510531"
3404754,118.006296,24.578791,"118.006296,24.578791"
3404759,118.080782,24.45008,"118.080782,24.450080"
3404531,118.144477,24.644937,"118.144477,24.644937"
3404908,118.136238,24.521318,"118.136238,24.521318"
3405497,117.955173,24.523522,"117.955173,24.523522"
2246664,118.261244,24.656786,"118.261244,24.656786"
3405486,118.007546,24.598598,"118.007546,24.598598"
3404897,118.150062,24.742917,"118.150062,24.742917"
3404786,118.135053,24.698294,"118.135053,24.698294"
3404896,118.12372,24.708738,"118.123720,24.708738"
3405175,118.010242,24.534007,"118.010242,24.534007"
3404873,118.007546,24.598598,"118.007546,24.598598"
3404868,118.092579,24.46872,"118.092579,24.468720"
2238457,118.146994,24.656946,"118.146994,24.656946"
26930,118.191301,24.496486,"118.191301,24.496486"
2238823,118.148801,24.657786,"118.148801,24.657786"
2238191,118.147249,24.705729,"118.147249,24.705729"
3404916,118.0397,24.491039,"118.039700,24.491039"
3404845,118.091819,24.466695,"118.091819,24.466695"
3404923,118.170771,24.485331,"118.170771,24.485331"
3404883,117.995223,24.618673,"117.995223,24.618673"
3404902,117.981198,24.536519,"117.981198,24.536519"
3404858,118.086746,24.476738,"118.086746,24.476738"
3404859,118.086746,24.476738,"118.086746,24.476738"
3404847,118.10031,24.46119,"118.100310,24.461190"
3404798,118.263368,24.679816,"118.263368,24.679816"
3404841,118.164127,24.722172,"118.164127,24.722172"
3404833,118.044381,24.552464,"118.044381,24.552464"
3404809,118.006296,24.578791,"118.006296,24.578791"
3404808,118.164127,24.722172,"118.164127,24.722172"
3404584,118.112196,24.468454,"118.112196,24.468454"
2238190,118.087822,24.450387,"118.087822,24.450387"
3404481,118.103631,24.572158,"118.103631,24.572158"
3404455,118.103631,24.572158,"118.103631,24.572158"
3404516,118.086822,24.476593,"118.086822,24.476593"
3404716,117.964783,24.580929,"117.964783,24.580929"
3404693,118.114714,24.549335,"118.114714,24.549335"
3404559,118.149558,24.632793,"118.149558,24.632793"
3404697,117.964783,24.580929,"117.964783,24.580929"
2239475,118.122295,24.653878,"118.122295,24.653878"
3404614,118.087822,24.450387,"118.087822,24.450387"
3404515,118.089155,24.479322,"118.089155,24.479322"
1431909,118.099612,24.461046,"118.099612,24.461046"
3404483,118.118096,24.542605,"118.118096,24.542605"
3404613,118.056795,24.577917,"118.056795,24.577917"
3404612,118.039633,24.491002,"118.039633,24.491002"
3404482,118.132194,24.526927,"118.132194,24.526927"
3404544,117.964783,24.580929,"117.964783,24.580929"
3404350,118.126465,24.513077,"118.126465,24.513077"
3404478,118.224683,24.722903,"118.224683,24.722903"
3404463,118.278001,24.643711,"118.278001,24.643711"
3404487,118.151495,24.525848,"118.151495,24.525848"
3404245,118.166114,24.475978,"118.166114,24.475978"
3404459,118.095382,24.462067,"118.095382,24.462067"
3404442,118.077286,24.451593,"118.077286,24.451593"
3404421,117.996599,24.530932,"117.996599,24.530932"
3404243,118.217883,24.642156,"118.217883,24.642156"
1033,118.122779,24.482398,"118.122779,24.482398"
3404385,118.145991,24.523084,"118.145991,24.523084"
3404339,117.972034,24.528394,"117.972034,24.528394"
3404257,118.102782,24.742234,"118.102782,24.742234"
3404348,118.108116,24.486083,"118.108116,24.486083"
3404276,117.955781,24.571897,"117.955781,24.571897"
1202,118.111681,24.485806,"118.111681,24.485806"
3404242,117.962617,24.530733,"117.962617,24.530733"
3404262,117.962617,24.530733,"117.962617,24.530733"
3404241,118.248145,24.658285,"118.248145,24.658285"
2241974,118.111681,24.485806,"118.111681,24.485806"
30448,118.111681,24.485806,"118.111681,24.485806"
2239199,118.105096,24.526377,"118.105096,24.526377"
