ROUTEID,TRANSID,INCEPTADDR,SENDPOS
3,358,厦门市思明区仙岳路555号109-110店面,厦门思明仁爱门诊部
3,366,思明区湖滨北路259号501室,厦门思明晓民医疗美容诊所
3,367,厦门市思明区厦禾路1106号之一,厦门思明新鹭厦门诊部有限公司
3,368,思明区湖滨北路育秀里36号三楼304单元,厦门思明修志夫整形外科门诊部
3,371,厦门市思明区禾祥东路18-13号,厦门思明艺贞禾祥诊所
3,373,火车站往莲坂方向豪享来二楼,厦门思明银河整形外科门诊部（股份厦门）
3,376,思明区莲岳里72号,厦门思明再福中医诊所
3,377,仙岳路1153号,厦门思明张铭医疗美容诊所
3,410,长青路283号嘉华大厦1-4楼,厦门友好妇产医院
3,413,厦门市思明区金榜路61-67号第五层22室,厦门中讯达科技有限公司
3,419,思明区仙阁里162号之102,厦门思明晓明诊所
3,436,亿宝大厦11楼5890282,国大连锁亿宝大厦
3,17,湖里区湖里街道东渡和通里128号,厦门湖里国宇门诊部
3,62,湖里区湖里街道和宁路125号,厦门湖里健民濠头门诊部
3,72,湖里区湖里街道和宁路69-5号、69-6号、69-7号、69-8号、69-9号,厦门湖里拯济堂门诊部
3,123,禾祥东路170号之24店面,厦门妙春堂药店有限公司
3,124,思明区后埭溪路109号中心商场(银龙广场一期),厦门闽篮超市有限公司禾祥店
3,125,湖里区嘉园路26号,厦门闽篮超市有限公司松柏店
3,133,厦门市思明区仙岳路468号之一至之六 ,厦门市康复医院
3,185,湖里区和宁里125之11号,厦门市湖里区慈善堂药店
3,314,仙岳路中段399号,仙岳医院药库
3,335,思明区凤屿路116、118号店面,厦门思明晟东海门诊部
3,336,金榜路61-67号,厦门思明扶正堂中医门诊部
3,338,思明区湖滨南路625号,厦门思明富山门诊部
3,341,思明区厦禾路913号华星大厦三层部分,厦门思明华美医容医疗美容门诊部有限公司 
3,342,湖滨南路815号万禾广场二层,厦门思明黄岩整形外科门诊部
3,344,莲前西路114号101室,厦门思明建设西医妇科诊所
3,345,厦门市思明区湖滨南路469号福联大厦6F,厦门思明洁宇门诊部
3,350,莲岳路16号之16.18-203室,厦门思明康健门诊部
3,352,厦门市思明区金榜路57号之二十三 张丽勤15392031729,厦门思明丽勤诊所
3,354,思明区仙岳路463-467号聚祥花园A栋三层,厦门思明欧菲医疗美容门诊部
3,355,厦门市思明区屿后南里130-131号1-2层,厦门思明齐安松柏门诊部有限公司
3,357,思明槟榔西里150号天湖大厦A座1-4,厦门思明区梧村骨科医院
3,526,厦门市思明区金橡南路19号,厦门市思明区金橡南路19号
3,543,厦门市思明区金榜路58号,中山医院金榜分院
3,554,思明区莲景路60号,嘉莲社区药房
3,557,莲岳里14号,筼筜残联点药房
3,562,思明区仙岳路452号之一至之五,厦门得心药房有限公司仙岳店
3,564,思明区湖滨六里159号,厦门东南医药有限公司大洲分店
3,565,仙阁里小区92号一层,厦门东南医药有限公司仙阁里分店
3,570,厦门市湖滨东路9号,厦门国泰妇科医院
3,605,仙岳路中段373-375号,爱心护理院药房
3,623,开元区屿后南里238号,松柏医院药房
3,688,厦门市思明区东浦路82号第二层,厦门市美信好又惠医药有限公司
3,691,*思明区湖光路78号之10-11号,厦门市思明区安仁堂药店
3,692,厦门市思明区东浦一里57号109-110店面,厦门市百安堂药业有限公司（股份厦门）
3,697,坂尾路17-19号之2室,厦门市思明区草济堂药局
3,698,厦禾路881号千禧园36号,厦门德康堂药业有限公司(股份厦门)
3,701,思明区嘉禾路303号114室,厦门市思明区德善药局
3,702,*东坪二里130号,厦门市思明区德鑫堂药局
3,707,湖明路12-16号,厦门市思明区富康药店
3,709,莲前西路51号之4,厦门市思明区广莲堂药店
3,710,思明区禾祥东路38号之二店,厦门市思明区旱霖药店
3,715,长青路251号,厦门市思明区惠康大药房
3,716,莲岳里162号之十,厦门市思明区惠瑞药店
3,718,*莲岳路永升松柏中心CD座一层17号,厦门市思明区集善堂药店
3,719,SM二期对面,厦门市思明区济慈大药房
3,722,东浦路金枫园12号之27店面,厦门市思明区金鹭岛药店
3,728,东浦路36号农贸市场A10-11号,厦门市思明区龙昌堂药店
3,730,思明区东浦路4号之A04-A05店,厦门市思明区美信祥和药店
3,733,凤屿路17号之9,厦门铭国堂药业有限公司（股份厦门））
3,735,后埭路126号之三,厦门市思明区齐康药店
3,737,*思明区凤屿路238号,厦门市思明区如一堂药店
3,744,思明区湖滨南路821号之115号,厦门市思明区同泰药店
3,747,厦门市禾祥东路12号之32店,厦门市思明区维善药店
3,748,思明区嘉禾路253号之102室,厦门市思明区祥聚堂药店
3,749,思明区东明路5号,厦门市思明区祥康堂药局
3,769,厦门市思明区湖滨南路310-3号,厦门市思明区众鑫泰大药房
3,1238,莲岳路179号,筼筜社区莲岳点
3,1325,思明区仙岳路452号之一至之五,厦门得心药房有限公司仙岳店
3,1326,厦门市思明区湖滨六里175号,德善堂湖滨六里店
3,1025,思明区凤屿路384号、448号之一、之二,厦门思明槟榔门诊部
3,1027,东浦路168-13,厦门思明传春内科诊所
3,1028,东浦路98号之16-1,厦门思明传文中医内科诊所
3,1031,东坪二里1号201，301室,厦门思明德善堂东坪门诊部
3,1037,厦门市思明区厦禾路986号401室之一,厦门思明宁冠门诊部
3,1045,*思明区松岳里35号,思明区信益堂药店
3,1088,福建省厦门市连前西路,中国人民解放军73325部队卫生队
3,1202,思明区育秀里36号,思明区育秀里36号
3,1203,思明区长青路506号102室,思明区长青路506号102室
3,1210,思明区湖滨东路90号1层1-4#商场、2层1-11#商场,思明区湖滨东路90号1层1-4#商场、2层1-11#商场
3,1213,思明区长青路282号,思明区长青路282号
3,1880,福建厦门市嘉禾路570号,厦门市思明东海门诊部
3,1403,*思明区仙岳路241号之106店面,健康八五仙岳店
3,1416,*湖里区嘉禾路344号之7、344号之8、344之9,健康八五十八分店
3,1912,*福建厦门思明区后埭溪路102号之十三E1单元 ,"厦门思明区健康八五医药商店
"
3,1941,厦门思明区湖光路133号,厦门市国曜医疗器械有限公司
3,1950,思明区莲景路62号,嘉莲社区
3,1960,福建厦门仙岳路263号,都森医疗器械
3,1961,莲岳里14号,员筜社区
3,1969,厦门思明区环岛东路1699号建发国际大厦19楼,"厦门市和盛祥科技有限公司
"
3,1979,福建厦门市长青路283号嘉华大厦1-4楼,药房
3,2010,"厦门湖滨北路育秀里36号三04
","厦门思明修志夫整形外科门诊部
"
3,2011,"厦门仙岳路1153号
","厦门思明张铭医疗美容诊所
"
3,1819,思明区金榜路58号,中山金榜分院
3,1830,仙岳路373-375号,门诊药房
3,1842,福建厦门思明区仙岳路  ,"厦门市仙岳医院	设备科
"
3,1916,"厦门莲前西路144号101室
","厦门思明建设西医妇科诊所
"
3,2050,"思明区金榜路61-67号第五层22-2室
","厦门中迅达科技有限公司
"
3,2052,思明区东浦路22号,梧村骨科医院药房
3,1381,思明区湖滨南路687号08室,厦门思明兰娟口腔科诊所
3,2181,亿宝大厦11楼5890282,国大连锁亿宝大厦
3,753,*思明区莲岳路26号之六,厦门市思明区信德堂药局
3,756,*嘉禾路62号及62号之101,厦门市思明区兴鹭康药房
3,1399,*思明区后埭溪路102号之十三E1单元,健康八五后埭溪店
3,1402,*思明区故宫东里93号,健康八五十五分店
