ROUTEID,TRANSID,INCEPTADDR,SENDPOS,location
3,358,厦门市思明区仙岳路555号109-110店面,厦门思明仁爱门诊部,"118.11914,24.496305"
3,366,思明区湖滨北路259号501室,厦门思明晓民医疗美容诊所,"118.127647,24.490206"
3,367,厦门市思明区厦禾路1106号之一,厦门思明新鹭厦门诊部有限公司,"118.120612,24.471684"
3,368,思明区湖滨北路育秀里36号三楼304单元,厦门思明修志夫整形外科门诊部,"118.111681,24.485806"
3,371,厦门市思明区禾祥东路18-13号,厦门思明艺贞禾祥诊所,"118.108367,24.470086"
3,376,思明区莲岳里72号,厦门思明再福中医诊所,"118.116542,24.491903"
3,377,仙岳路1153号,厦门思明张铭医疗美容诊所,"118.124748,24.502704"
3,410,长青路283号嘉华大厦1-4楼,厦门友好妇产医院,"118.12356,24.488194"
3,413,厦门市思明区金榜路61-67号第五层22室,厦门中讯达科技有限公司,"118.11008,24.46859"
3,419,思明区仙阁里162号之102,厦门思明晓明诊所,"118.11693,24.495667"
3,436,亿宝大厦11楼5890282,国大连锁亿宝大厦,"118.116173,24.474018"
3,17,湖里区湖里街道东渡和通里128号,厦门湖里国宇门诊部,"118.092964,24.493268"
3,62,湖里区湖里街道和宁路125号,厦门湖里健民濠头门诊部,"118.087529,24.49692"
3,72,湖里区湖里街道和宁路69-5号、69-6号、69-7号、69-8号、69-9号,厦门湖里拯济堂门诊部,"118.087422,24.496212"
3,123,禾祥东路170号之24店面,厦门妙春堂药店有限公司,"118.116289,24.471444"
3,124,思明区后埭溪路109号中心商场(银龙广场一期),厦门闽篮超市有限公司禾祥店,"118.106719,24.468559"
3,125,湖里区嘉园路26号,厦门闽篮超市有限公司松柏店,"118.112031,24.51542"
3,133,厦门市思明区仙岳路468号之一至之六 ,厦门市康复医院,"118.119911,24.495454"
3,185,湖里区和宁里125之11号,厦门市湖里区慈善堂药店,"118.08675,24.497714"
3,314,仙岳路中段399号,仙岳医院药库,"118.111082,24.495411"
3,335,思明区凤屿路116、118号店面,厦门思明晟东海门诊部,"118.11527,24.474423"
3,336,金榜路61-67号,厦门思明扶正堂中医门诊部,"118.109695,24.468756"
3,338,思明区湖滨南路625号,厦门思明富山门诊部,"118.11657,24.475922"
3,341,思明区厦禾路913号华星大厦三层部分,厦门思明华美医容医疗美容门诊部有限公司 ,"118.114906,24.469906"
3,342,湖滨南路815号万禾广场二层,厦门思明黄岩整形外科门诊部,"118.119024,24.476991"
3,344,莲前西路114号101室,厦门思明建设西医妇科诊所,"118.130472,24.47525"
3,345,厦门市思明区湖滨南路469号福联大厦6F,厦门思明洁宇门诊部,"118.111986,24.47489"
3,350,莲岳路16号之16.18-203室,厦门思明康健门诊部,"118.12058,24.484302"
3,352,厦门市思明区金榜路57号之二十三 张丽勤15392031729,厦门思明丽勤诊所,"118.109044,24.46861"
3,354,思明区仙岳路463-467号聚祥花园A栋三层,厦门思明欧菲医疗美容门诊部,"118.1155,24.494629"
3,355,厦门市思明区屿后南里130-131号1-2层,厦门思明齐安松柏门诊部有限公司,"118.121047,24.491741"
3,357,思明槟榔西里150号天湖大厦A座1-4,厦门思明区梧村骨科医院,"118.110549,24.480249"
3,526,厦门市思明区金橡南路19号,厦门市思明区金橡南路19号,"118.082658,24.445567"
3,543,厦门市思明区金榜路58号,中山医院金榜分院,"118.110738,24.466996"
3,554,思明区莲景路60号,嘉莲社区药房,"118.117849,24.482821"
3,557,莲岳里14号,筼筜残联点药房,"118.115605,24.49219"
3,562,思明区仙岳路452号之一至之五,厦门得心药房有限公司仙岳店,"118.116241,24.493682"
3,564,思明区湖滨六里159号,厦门东南医药有限公司大洲分店,"118.116035,24.478996"
3,565,仙阁里小区92号一层,厦门东南医药有限公司仙阁里分店,"118.117699,24.49679"
3,570,厦门市湖滨东路9号,厦门国泰妇科医院,"118.113753,24.47014"
3,605,仙岳路中段373-375号,爱心护理院药房,"118.109833,24.493876"
3,623,开元区屿后南里238号,松柏医院药房,"118.121882,24.492903"
3,688,厦门市思明区东浦路82号第二层,厦门市美信好又惠医药有限公司,"118.128637,24.471948"
3,691,*思明区湖光路78号之10-11号,厦门市思明区安仁堂药店,"118.11134,24.47807"
3,692,厦门市思明区东浦一里57号109-110店面,厦门市百安堂药业有限公司（股份厦门）,"118.124074,24.472852"
3,697,坂尾路17-19号之2室,厦门市思明区草济堂药局,"118.12222,24.473786"
3,698,厦禾路881号千禧园36号,厦门德康堂药业有限公司(股份厦门),"118.11013,24.468182"
3,701,思明区嘉禾路303号114室,厦门市思明区德善药局,"118.126974,24.488979"
3,702,*东坪二里130号,厦门市思明区德鑫堂药局,"118.12059,24.46921"
3,707,湖明路12-16号,厦门市思明区富康药店,"118.117897,24.477373"
3,709,莲前西路51号之4,厦门市思明区广莲堂药店,"118.125222,24.477086"
3,710,思明区禾祥东路38号之二店,厦门市思明区旱霖药店,"118.108215,24.46834"
3,715,长青路251号,厦门市思明区惠康大药房,"118.123944,24.486119"
3,716,莲岳里162号之十,厦门市思明区惠瑞药店,"118.118538,24.494673"
3,718,*莲岳路永升松柏中心CD座一层17号,厦门市思明区集善堂药店,"118.11628,24.490929"
3,722,东浦路金枫园12号之27店面,厦门市思明区金鹭岛药店,"118.122665,24.470818"
3,730,思明区东浦路4号之A04-A05店,厦门市思明区美信祥和药店,"118.121164,24.470724"
3,733,凤屿路17号之9,厦门铭国堂药业有限公司（股份厦门））,"118.115517,24.472904"
3,737,*思明区凤屿路238号,厦门市思明区如一堂药店,"118.114281,24.477539"
3,744,思明区湖滨南路821号之115号,厦门市思明区同泰药店,"118.120048,24.477669"
3,747,厦门市禾祥东路12号之32店,厦门市思明区维善药店,"118.10647,24.470354"
3,748,思明区嘉禾路253号之102室,厦门市思明区祥聚堂药店,"118.122373,24.484601"
3,749,思明区东明路5号,厦门市思明区祥康堂药局,"118.108563,24.480168"
3,769,厦门市思明区湖滨南路310-3号,厦门市思明区众鑫泰大药房,"118.11447,24.474782"
3,1238,莲岳路179号,筼筜社区莲岳点,"118.121223,24.484604"
3,1325,思明区仙岳路452号之一至之五,厦门得心药房有限公司仙岳店,"118.116241,24.493682"
3,1326,厦门市思明区湖滨六里175号,德善堂湖滨六里店,"118.115986,24.478119"
3,1025,思明区凤屿路384号、448号之一、之二,厦门思明槟榔门诊部,"118.113428,24.48031"
3,1027,东浦路168-13,厦门思明传春内科诊所,"118.131872,24.474028"
3,1028,东浦路98号之16-1,厦门思明传文中医内科诊所,"118.129913,24.473218"
3,1031,东坪二里1号201，301室,厦门思明德善堂东坪门诊部,"118.120056,24.469757"
3,1037,厦门市思明区厦禾路986号401室之一,厦门思明宁冠门诊部,"118.117633,24.470704"
3,1045,*思明区松岳里35号,思明区信益堂药店,"118.11198,24.493242"
3,1088,福建省厦门市连前西路,中国人民解放军73325部队卫生队,"118.136419,24.476672"
3,1202,思明区育秀里36号,思明区育秀里36号,"118.111681,24.485806"
3,1203,思明区长青路506号102室,思明区长青路506号102室,"118.124582,24.489818"
