KEYID,WAREHID,ROUTEID,TRANSID,ROUTESEQ,DISTANCE,INCEPTADDR,EQUTRANSID,SENDPOS,ROUTENAME,INTOWNFLAG,TRANSFLAG,USESTATUS,TRANSNAME,TRANSMODE,TRANSMODEID,ZONENO,ZONENAME,ZONEID,COMPANYNAME,TRCOMPANYID,WAREHNAME,MEMO,Xiamen.经度,Xiamen.纬度
8575,1,3,358,242.0,,厦门市思明区仙岳路555号109-110店面,,厦门思明仁爱门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.11914,24.496305
325,1,3,366,660.0,,思明区湖滨北路259号501室,,厦门思明晓民医疗美容诊所,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.127647,24.490206
326,1,3,367,380.0,,厦门市思明区厦禾路1106号之一,,厦门思明新鹭厦门诊部有限公司,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.120612,24.471684
327,1,3,368,670.0,,思明区湖滨北路育秀里36号三楼304单元,,厦门思明修志夫整形外科门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.111681,24.485806
330,1,3,371,671.0,,厦门市思明区禾祥东路18-13号,,厦门思明艺贞禾祥诊所,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.108367,24.470086
335,1,3,376,680.0,,思明区莲岳里72号,,厦门思明再福中医诊所,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.116542,24.491903
336,1,3,377,690.0,,仙岳路1153号,,厦门思明张铭医疗美容诊所,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.124748,24.502704
369,1,3,410,700.0,,长青路283号嘉华大厦1-4楼,,厦门友好妇产医院,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.12356,24.488194
372,1,3,413,160.0,,厦门市思明区金榜路61-67号第五层22室,,厦门中讯达科技有限公司,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.11008,24.46859
377,1,3,419,720.0,,思明区仙阁里162号之102,,厦门思明晓明诊所,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.11693,24.495667
859,1,3,436,,,亿宝大厦11楼5890282,,国大连锁亿宝大厦,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.116173,24.474018
4981,1,3,17,348.0,,湖里区湖里街道东渡和通里128号,,厦门湖里国宇门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.092964,24.493268
9034,1,3,62,250.0,,湖里区湖里街道和宁路125号,,厦门湖里健民濠头门诊部,线路3,1,1,1,汽运,汽运,26,JHQ3,集货区3,3,,,厦门物流中心,,118.087529,24.49692
