运输地址ID,线路名称,Xiamen.经度,Xiamen.纬度,location
414,线路8,118.104804,24.59334,"118.104804,24.593340"
416,线路10,118.157372,24.707205,"118.157372,24.707205"
417,线路10,118.134504,24.727497,"118.134504,24.727497"
425,线路2,118.080793,24.460058,"118.080793,24.460058"
428,线路4,118.14189,24.47617,"118.141890,24.476170"
20,线路8,118.103757,24.584482,"118.103757,24.584482"
37,线路10,118.157244,24.733853,"118.157244,24.733853"
39,线路10,118.141972,24.767303,"118.141972,24.767303"
69,线路7,118.100553,24.515016,"118.100553,24.515016"
72,线路3,118.087422,24.496212,"118.087422,24.496212"
74,线路5,118.150803,24.49472,"118.150803,24.494720"
77,线路6,118.125566,24.51076,"118.125566,24.510760"
103,线路8,118.106309,24.595218,"118.106309,24.595218"
119,线路6,118.119585,24.511077,"118.119585,24.511077"
139,线路4,118.167481,24.470204,"118.167481,24.470204"
194,线路6,118.150087,24.511449,"118.150087,24.511449"
290,线路8,118.102121,24.573598,"118.102121,24.573598"
314,线路3,118.111082,24.495411,"118.111082,24.495411"
316,线路9,118.263078,24.657008,"118.263078,24.657008"
329,线路9,118.244576,24.540293,"118.244576,24.540293"
333,线路9,118.259171,24.559002,"118.259171,24.559002"
343,线路1,118.105905,24.465041,"118.105905,24.465041"
540,线路2,118.080793,24.460058,"118.080793,24.460058"
541,线路2,118.080793,24.460058,"118.080793,24.460058"
542,线路2,118.097381,24.47093,"118.097381,24.470930"
543,线路3,118.110738,24.466996,"118.110738,24.466996"
544,线路2,118.097381,24.47093,"118.097381,24.470930"
548,线路2,118.097381,24.47093,"118.097381,24.470930"
550,线路2,118.097381,24.47093,"118.097381,24.470930"
554,线路3,118.117849,24.482821,"118.117849,24.482821"
556,线路1,118.105467,24.465604,"118.105467,24.465604"
568,线路6,118.127527,24.530801,"118.127527,24.530801"
586,线路6,118.136456,24.52061,"118.136456,24.520610"
589,线路2,118.081696,24.488132,"118.081696,24.488132"
605,线路3,118.109833,24.493876,"118.109833,24.493876"
607,线路10,118.147665,24.706072,"118.147665,24.706072"
609,线路10,118.147665,24.706072,"118.147665,24.706072"
610,线路1,118.088899,24.45085,"118.088899,24.450850"
612,线路1,118.088899,24.45085,"118.088899,24.450850"
615,线路1,118.088899,24.45085,"118.088899,24.450850"
616,线路1,118.122141,24.435002,"118.122141,24.435002"
621,线路1,118.08426,24.455598,"118.084260,24.455598"
622,线路1,118.078965,24.454712,"118.078965,24.454712"
630,线路12,117.994311,24.530359,"117.994311,24.530359"
631,线路12,118.048561,24.488771,"118.048561,24.488771"
633,线路12,118.025842,24.483721,"118.025842,24.483721"
637,线路7,118.10315,24.523909,"118.103150,24.523909"
638,线路11,117.997091,24.603403,"117.997091,24.603403"
669,线路11,118.030986,24.564221,"118.030986,24.564221"
764,线路2,118.098953,24.488972,"118.098953,24.488972"
1234,线路8,118.103757,24.584482,"118.103757,24.584482"
1235,线路8,118.103757,24.584482,"118.103757,24.584482"
1238,线路3,118.121223,24.484604,"118.121223,24.484604"
1283,线路21,118.097732,24.471498,"118.097732,24.471498"
1286,线路21,118.087739,24.452627,"118.087739,24.452627"
892,线路10,118.14965,24.734747,"118.149650,24.734747"
893,线路10,118.14965,24.734747,"118.149650,24.734747"
1022,线路5,118.132901,24.498848,"118.132901,24.498848"
1026,线路4,118.178807,24.479402,"118.178807,24.479402"
1035,线路1,118.081769,24.450764,"118.081769,24.450764"
1039,线路2,118.080793,24.460058,"118.080793,24.460058"
1040,线路12,118.010242,24.534007,"118.010242,24.534007"
1051,线路10,118.14,24.673682,"118.140000,24.673682"
1067,线路12,117.997233,24.520716,"117.997233,24.520716"
1090,线路1,118.095752,24.458999,"118.095752,24.458999"
1091,线路1,118.095752,24.458999,"118.095752,24.458999"
1093,线路1,118.095752,24.458999,"118.095752,24.458999"
950,线路9,118.2483,24.65961,"118.248300,24.659610"
952,线路9,118.2483,24.65961,"118.248300,24.659610"
960,线路9,118.249741,24.590834,"118.249741,24.590834"
963,线路9,118.20639,24.581648,"118.206390,24.581648"
970,线路9,118.225258,24.551641,"118.225258,24.551641"
972,线路9,118.191872,24.603251,"118.191872,24.603251"
999,线路11,117.942687,24.564042,"117.942687,24.564042"
1012,线路6,118.140663,24.500073,"118.140663,24.500073"
1015,线路5,118.13512,24.498669,"118.135120,24.498669"
1017,线路6,118.140663,24.500073,"118.140663,24.500073"
2303,线路4,118.172933,24.467813,"118.172933,24.467813"
2318,线路2,118.094721,24.470405,"118.094721,24.470405"
2331,线路3,118.110738,24.466996,"118.110738,24.466996"
1347,线路2,118.082586,24.464754,"118.082586,24.464754"
2749,线路11,118.032592,24.589334,"118.032592,24.589334"
3138,线路10,118.1495,24.73475,"118.149500,24.734750"
3144,线路3,118.114401,24.494186,"118.114401,24.494186"
3584,线路3,118.121223,24.484604,"118.121223,24.484604"
3801,线路11,118.032125,24.578065,"118.032125,24.578065"
4325,线路12,118.0393822,24.49034641,"118.039382189162,24.490346409879098"
4326,线路12,118.038991,24.490703,"118.038991,24.490703"
12365,线路10,118.145737,24.715991,"118.145737,24.715991"
