ROUTEID,TRANSID,INCEPTADDR,SENDPOS,location,Index
,,厦门鹭燕制药有限公司,厦门鹭燕制药有限公司,"118.007317,24.598948",0
3.0,358.0,厦门市思明区仙岳路555号109-110店面,厦门思明仁爱门诊部,"118.11914,24.496305",1
3.0,366.0,思明区湖滨北路259号501室,厦门思明晓民医疗美容诊所,"118.127647,24.490206",2
3.0,367.0,厦门市思明区厦禾路1106号之一,厦门思明新鹭厦门诊部有限公司,"118.120612,24.471684",3
3.0,368.0,思明区湖滨北路育秀里36号三楼304单元,厦门思明修志夫整形外科门诊部,"118.111681,24.485806",4
3.0,371.0,厦门市思明区禾祥东路18-13号,厦门思明艺贞禾祥诊所,"118.108367,24.470086",5
3.0,373.0,火车站往莲坂方向豪享来二楼,厦门思明银河整形外科门诊部（股份厦门）,"121.587959,31.33861",6
3.0,376.0,思明区莲岳里72号,厦门思明再福中医诊所,"118.116542,24.491903",7
3.0,377.0,仙岳路1153号,厦门思明张铭医疗美容诊所,"118.124748,24.502704",8
3.0,410.0,长青路283号嘉华大厦1-4楼,厦门友好妇产医院,"118.12356,24.488194",9
3.0,413.0,厦门市思明区金榜路61-67号第五层22室,厦门中讯达科技有限公司,"118.11008,24.46859",10
3.0,419.0,思明区仙阁里162号之102,厦门思明晓明诊所,"118.11693,24.495667",11
3.0,436.0,亿宝大厦11楼5890282,国大连锁亿宝大厦,"118.116173,24.474018",12
3.0,17.0,湖里区湖里街道东渡和通里128号,厦门湖里国宇门诊部,"118.092964,24.493268",13
3.0,62.0,湖里区湖里街道和宁路125号,厦门湖里健民濠头门诊部,"118.087529,24.49692",14
3.0,72.0,湖里区湖里街道和宁路69-5号、69-6号、69-7号、69-8号、69-9号,厦门湖里拯济堂门诊部,"118.087422,24.496212",15
3.0,123.0,禾祥东路170号之24店面,厦门妙春堂药店有限公司,"118.116289,24.471444",16
3.0,124.0,思明区后埭溪路109号中心商场(银龙广场一期),厦门闽篮超市有限公司禾祥店,"118.106719,24.468559",17
3.0,125.0,湖里区嘉园路26号,厦门闽篮超市有限公司松柏店,"118.112031,24.51542",18
3.0,133.0,厦门市思明区仙岳路468号之一至之六 ,厦门市康复医院,"118.119911,24.495454",19
3.0,185.0,湖里区和宁里125之11号,厦门市湖里区慈善堂药店,"118.08675,24.497714",20
3.0,314.0,仙岳路中段399号,仙岳医院药库,"118.111082,24.495411",21
3.0,335.0,思明区凤屿路116、118号店面,厦门思明晟东海门诊部,"118.11527,24.474423",22
3.0,336.0,金榜路61-67号,厦门思明扶正堂中医门诊部,"118.109695,24.468756",23
3.0,338.0,思明区湖滨南路625号,厦门思明富山门诊部,"118.11657,24.475922",24
3.0,341.0,思明区厦禾路913号华星大厦三层部分,厦门思明华美医容医疗美容门诊部有限公司 ,"118.114906,24.469906",25
3.0,342.0,湖滨南路815号万禾广场二层,厦门思明黄岩整形外科门诊部,"118.119024,24.476991",26
3.0,344.0,莲前西路114号101室,厦门思明建设西医妇科诊所,"118.130472,24.47525",27
3.0,345.0,厦门市思明区湖滨南路469号福联大厦6F,厦门思明洁宇门诊部,"118.111986,24.47489",28
3.0,350.0,莲岳路16号之16.18-203室,厦门思明康健门诊部,"118.12058,24.484302",29
3.0,352.0,厦门市思明区金榜路57号之二十三 张丽勤15392031729,厦门思明丽勤诊所,"118.109044,24.46861",30
3.0,354.0,思明区仙岳路463-467号聚祥花园A栋三层,厦门思明欧菲医疗美容门诊部,"118.1155,24.494629",31
3.0,355.0,厦门市思明区屿后南里130-131号1-2层,厦门思明齐安松柏门诊部有限公司,"118.121047,24.491741",32
3.0,357.0,思明槟榔西里150号天湖大厦A座1-4,厦门思明区梧村骨科医院,"118.110549,24.480249",33
3.0,526.0,厦门市思明区金橡南路19号,厦门市思明区金橡南路19号,"118.082658,24.445567",34
3.0,543.0,厦门市思明区金榜路58号,中山医院金榜分院,"118.110738,24.466996",35
3.0,554.0,思明区莲景路60号,嘉莲社区药房,"118.117849,24.482821",36
3.0,557.0,莲岳里14号,筼筜残联点药房,"118.115605,24.49219",37
3.0,562.0,思明区仙岳路452号之一至之五,厦门得心药房有限公司仙岳店,"118.116241,24.493682",38
3.0,564.0,思明区湖滨六里159号,厦门东南医药有限公司大洲分店,"118.116035,24.478996",39
3.0,565.0,仙阁里小区92号一层,厦门东南医药有限公司仙阁里分店,"118.117699,24.49679",40
3.0,570.0,厦门市湖滨东路9号,厦门国泰妇科医院,"118.113753,24.47014",41
3.0,605.0,仙岳路中段373-375号,爱心护理院药房,"118.109833,24.493876",42
3.0,623.0,开元区屿后南里238号,松柏医院药房,"118.121882,24.492903",43
3.0,688.0,厦门市思明区东浦路82号第二层,厦门市美信好又惠医药有限公司,"118.128637,24.471948",44
3.0,691.0,*思明区湖光路78号之10-11号,厦门市思明区安仁堂药店,"118.11134,24.47807",45
3.0,692.0,厦门市思明区东浦一里57号109-110店面,厦门市百安堂药业有限公司（股份厦门）,"118.124074,24.472852",46
3.0,697.0,坂尾路17-19号之2室,厦门市思明区草济堂药局,"118.12222,24.473786",47
3.0,698.0,厦禾路881号千禧园36号,厦门德康堂药业有限公司(股份厦门),"118.11013,24.468182",48
3.0,701.0,思明区嘉禾路303号114室,厦门市思明区德善药局,"118.126974,24.488979",49
3.0,702.0,*东坪二里130号,厦门市思明区德鑫堂药局,"118.12059,24.46921",50
3.0,707.0,湖明路12-16号,厦门市思明区富康药店,"118.117897,24.477373",51
3.0,709.0,莲前西路51号之4,厦门市思明区广莲堂药店,"118.125222,24.477086",52
3.0,710.0,思明区禾祥东路38号之二店,厦门市思明区旱霖药店,"118.108215,24.46834",53
3.0,715.0,长青路251号,厦门市思明区惠康大药房,"118.123944,24.486119",54
3.0,716.0,莲岳里162号之十,厦门市思明区惠瑞药店,"118.118538,24.494673",55
3.0,718.0,*莲岳路永升松柏中心CD座一层17号,厦门市思明区集善堂药店,"118.11628,24.490929",56
