origin,destination,origin_location,destination_location,distance,duration,distance_r,duration_r
1469536,1523453,"118.125687,24.482395","118.136807,24.480001",3562,673,1580,599
1523453,762,"118.136807,24.480001","118.155633,24.48001",2711,630,2980,853
762,2229990,"118.155633,24.48001","118.173857,24.481457",3198,525,5460,2066
2229990,55906,"118.173857,24.481457","118.181231,24.482964",1429,233,910,180
55906,910268,"118.181231,24.482964","118.171656,24.506569",4515,753,4550,837
2203048,2242363,"118.075962,24.462928","118.003227,24.598651",23880,1417,23330,1800
2773991,177,"118.00358,24.602043","118.14252,24.501195",22394,1526,22450,2940
1709538,554,"118.126172,24.493128","118.118101,24.483434",2226,572,1370,576
554,1289781,"118.118101,24.483434","118.128624,24.491419",1757,340,1730,260
1289781,180,"118.128624,24.491419","118.135124,24.492825",1496,440,1210,176
