,ROUTEID,TRANSID,INCEPTADDR,SENDPOS,location,Index
0,,,厦门鹭燕制药有限公司,厦门鹭燕制药有限公司,"118.007317,24.598948",0
1,3.0,358.0,厦门市思明区仙岳路555号109-110店面,厦门思明仁爱门诊部,"118.11914,24.496305",1
488,3.0,55437.0,厦门市思明区仙岳路555号109-110店面,海峡两岸,,1
569,3.0,704323.0,厦门市思明区仙岳路555号109-110店面,（海峡两岸）厦门思明仁爱门诊部,,1
427,3.0,48042.0,厦门市思明区仙岳路555号109-110店面,燕来福,,1
2,3.0,366.0,思明区湖滨北路259号501室,厦门思明晓民医疗美容诊所,"118.127647,24.490206",2
2017,2.0,3413.0,思明区湖滨北路259号501室,厦门思明晓民医疗美容诊所,,2
176,3.0,3414.0,思明区厦禾路1106号,厦门思明新鹭厦门诊部,,3
3,3.0,367.0,厦门市思明区厦禾路1106号之一,厦门思明新鹭厦门诊部有限公司,"118.120612,24.471684",3
907,3.0,2242071.0,厦门市思明区育秀里36-104、36-105号,厦门思明瑞来春第二中医门诊部有限公司,,4
607,3.0,701143.0,思明区育秀里36号二层之204室,燕来福（厦门思明瑞来春中医门诊部）,,4
608,3.0,701144.0,思明区育秀里36号二层之204室,海峡两岸（厦门思明瑞来春中医门诊部）,,4
617,3.0,659902.0,"厦门市思明区育秀里36号104之一单元,105单元",厦门思明瑞来春第二中医门诊部（股份厦门）,,4
889,3.0,2241974.0,思明区育秀里36号,燕来福（厦门市思明区瑞来春中医门诊部）,,4
725,3.0,2229159.0,厦门市思明区育秀里36-104、36-105号,厦门思明瑞来春第二中医门诊部有限公司,,4
909,3.0,2238518.0,厦门市思明区育秀里36号二层之204室,厦门市思明区育秀里36号二层之204室,,4
368,3.0,32123.0,厦门市思明区育秀里36号育秀中心商场104单元,燕来福,,4
75,3.0,1202.0,思明区育秀里36号,思明区育秀里36号,,4
322,3.0,30499.0,厦门市思明区育秀里36号育秀中心商场104单元,燕来福(厦门市瑞来春药店有限公司）,,4
316,3.0,30447.0,思明区育秀里36号,燕来福（厦门思明瑞来春中医门诊部）,,4
317,3.0,30448.0,思明区育秀里36号,厦门市思明区瑞来春中医门诊部,,4
177,3.0,3415.0,思明区湖滨北路育秀里36号三楼304单元,厦门思明修志夫整形外科门诊部,,4
365,3.0,31930.0,思明区育秀里36号,燕来福,,4
4,3.0,368.0,思明区湖滨北路育秀里36号三楼304单元,厦门思明修志夫整形外科门诊部,"118.111681,24.485806",4
811,3.0,2239067.0,厦门市思明区育秀里36号育秀中心商场104单元,厦门市思明区育秀里36号育秀中心商场104单元,,4
204,3.0,3568.0,思明区育秀里36号二层之204室,思明区育秀里36号,,4
