distance,duration,origin,destination
22557,1545,0,7
22552,1426,0,2
25376,1630,0,3
23099,1433,0,6
22449,1334,0,1
24375,1559,0,4
21648,1342,0,13
27802,1724,0,5
21462,1374,0,14
25147,1773,0,9
22939,1490,0,8
21686,1394,0,12
24858,1578,0,15
19459,1329,0,17
27402,1625,0,16
22654,1324,0,10
24978,1683,0,11
22642,1370,0,18
21229,1366,0,19
25063,1592,0,24
25225,1795,0,22
24371,1534,0,23
24256,1519,0,25
25183,1594,0,21
23357,1392,0,26
23465,1524,0,20
27538,1644,0,29
25071,1730,0,32
23523,1500,0,28
22921,1456,0,31
25071,1620,0,27
22789,1312,0,30
26675,1724,0,33
24683,1557,0,38
23528,1426,0,36
22570,1329,0,39
22865,1343,0,37
23861,1587,0,35
25382,1672,0,40
27625,1598,0,34
23298,1540,0,48
24464,1526,0,43
25048,1590,0,45
23893,1575,0,42
25188,1627,0,44
23508,1454,0,41
23732,1369,0,51
25684,1647,0,47
24361,1594,0,50
24947,1624,0,49
23045,1349,0,54
27483,1590,0,52
22944,1426,0,53
24660,1578,0,46
23382,1456,0,55
25226,1649,0,56
24210,1523,0,60
24762,1594,0,57
24796,1545,0,59
23147,1470,0,62
25027,1598,0,58
27425,1560,0,61
25173,1635,0,64
25263,1788,0,63
23595,1516,0,65
24605,1592,0,66
25112,1601,0,67
23990,1410,0,68
27925,1654,0,70
22728,1444,0,74
23137,1347,0,72
24240,1464,0,69
25290,1679,0,75
23244,1526,0,76
27527,1595,0,80
22219,1393,0,79
23084,1506,0,78
25022,1612,0,81
23855,1586,0,82
25065,1635,0,71
24409,1440,0,73
30415,1847,0,84
23008,1517,0,85
20668,1342,0,77
22925,1473,0,83
23925,1487,0,86
23490,1450,0,87
25278,1561,0,88
24423,1502,0,93
23563,1504,0,92
24608,1597,0,91
23399,1388,0,89
25381,1668,0,90
21390,1318,0,95
21257,1301,0,96
24734,1545,0,100
24933,1611,0,99
24986,1642,0,98
20096,1462,0,97
24357,1748,0,94
25088,1581,0,102
22849,1423,0,107
22985,1488,0,106
25968,1929,0,105
21099,1323,0,101
24735,1571,0,104
25842,1700,0,108
25199,1773,0,109
24754,1567,0,111
25378,1595,0,112
23472,1447,0,115
36094,2061,0,117
27202,1525,0,103
24193,1549,0,114
27725,1715,0,118
23375,1624,0,110
22659,1472,0,119
22903,1416,0,113
27285,1579,0,116
25169,1646,0,122
25608,1628,0,121
27283,1595,0,120
23204,1382,0,124
25717,1658,0,123
21911,1423,0,125
23941,1485,0,130
27959,1619,0,128
23208,1387,0,129
24423,1515,0,132
27663,1636,0,126
24802,1632,0,133
22672,1314,0,127
25011,1801,0,137
24221,1449,0,135
25811,1695,0,136
23788,1442,0,134
23277,1594,0,138
25179,1768,0,139
24116,1556,0,140
26009,1817,0,143
27616,1639,0,141
22071,1340,0,144
24405,1612,0,131
24149,1555,0,142
24978,1686,0,147
25746,1681,0,150
27624,1681,0,148
24056,1499,0,152
21877,1471,0,149
25027,1622,0,146
25176,1627,0,145
23755,1434,0,153
24442,1509,0,156
27175,1546,0,154
