序号,定位时间,行驶速度,行驶里程,已停留/总停留,车辆状态,地理位置,车牌号码,行驶方向,location
1,2023-07-21 10:53:38,0 km/h,0 km,0秒 / 23秒,在线 / 停车 / ACC开,"福建省厦门市集美区灌口镇三社路356号;集美北大道,安仁大道-三社路交叉路口;厦门鹭燕制药有限公司,格林后整体家居,厦门亿同新印刷科技有限公司",闽D0TL89,正北(0),"118.003062,24.601939"
2,2023-07-21 10:54:01,0 km/h,0 km,23秒 / 23秒,在线 / 停车 / ACC开,"福建省厦门市集美区灌口镇三社路356号;集美北大道,安仁大道-三社路交叉路口;厦门鹭燕制药有限公司,格林后整体家居,厦门亿同新印刷科技有限公司",闽D0TL89,正北(0),"118.003062,24.601939"
3,2023-07-21 08:00:26,1 km/h,0 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇;集美北大道;厦门鹭燕制药有限公司,厦门市协晟工贸有限公司,厦门景联创科技有限公司",闽D1YX58,偏东(108),"118.003302,24.601513"
4,2023-07-21 08:00:35,0 km/h,0 km,0秒 / 0秒,在线 / 停车 / ACC开,"福建省厦门市集美区灌口镇安仁大道1599号;集美北大道,集美北大道-安仁大道辅路交叉路口;厦门鹭燕制药有限公司,厦门亿同新印刷科技有限公司,格林后整体家居",闽D1YX58,正北(0),"118.003282,24.601525"
5,2023-07-21 08:00:38,4 km/h,0 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇安仁大道1599号;集美北大道,集美北大道-安仁大道辅路交叉路口;厦门鹭燕制药有限公司,厦门亿同新印刷科技有限公司,格林后整体家居",闽D1YX58,偏东(97),"118.003292,24.601534"
6,2023-07-21 08:00:41,6 km/h,0.01 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇;集美北大道;厦门鹭燕制药有限公司,厦门市协晟工贸有限公司,厦门景联创科技有限公司",闽D1YX58,偏东(108),"118.003331,24.601516"
7,2023-07-21 08:00:43,6 km/h,0.01 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇;集美北大道;厦门鹭燕制药有限公司,厦门市协晟工贸有限公司,厦门景联创科技有限公司",闽D1YX58,东南(118),"118.003345,24.601509"
8,2023-07-21 08:00:45,7 km/h,0.01 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇;集美北大道;厦门鹭燕制药有限公司,厦门市协晟工贸有限公司,厦门景联创科技有限公司",闽D1YX58,东南(145),"118.003376,24.601486"
9,2023-07-21 08:00:47,12 km/h,0.02 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇安仁大道1635-1639号;集美北大道,集美北大道-安仁大道辅路交叉路口;厦门鹭燕制药有限公司,厦门亿同新印刷科技有限公司,格林后整体家居",闽D1YX58,偏南(165),"118.003402,24.601428"
10,2023-07-21 08:00:49,11 km/h,0.03 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇安仁大道1635-1639号;集美北大道,集美北大道-安仁大道辅路交叉路口;厦门鹭燕制药有限公司,厦门亿同新印刷科技有限公司,格林后整体家居",闽D1YX58,偏南(177),"118.003423,24.601328"
11,2023-07-21 08:00:51,9 km/h,0.03 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇安仁大道1635-1639号;集美北大道,集美北大道-安仁大道辅路交叉路口;厦门鹭燕制药有限公司,厦门亿同新印刷科技有限公司,格林后整体家居",闽D1YX58,西南(205),"118.003403,24.601287"
12,2023-07-21 08:00:53,11 km/h,0.04 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇安仁大道1635-1639号;集美北大道,集美北大道-安仁大道辅路交叉路口;厦门鹭燕制药有限公司,厦门亿同新印刷科技有限公司,格林后整体家居",闽D1YX58,西南(216),"118.003341,24.601187"
13,2023-07-21 08:00:55,17 km/h,0.06 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇;集美北大道;厦门鹭燕制药有限公司,厦门市协晟工贸有限公司,公寓月租",闽D1YX58,西南(232),"118.00325,24.60114"
14,2023-07-21 08:00:57,27 km/h,0.07 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇安仁大道1599号;集美北大道,集美北大道-安仁大道辅路交叉路口;厦门鹭燕制药有限公司,厦门亿同新印刷科技有限公司,格林后整体家居",闽D1YX58,西南(246),"118.003099,24.601102"
15,2023-07-21 08:01:05,38 km/h,0.14 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇安仁大道1599号;安仁大道辅路,集美北大道-安仁大道辅路交叉路口;厦门鹭燕制药有限公司,厦门亿同新印刷科技有限公司,格林后整体家居",闽D1YX58,偏西(248),"118.002439,24.600955"
16,2023-07-21 08:01:12,24 km/h,0.2 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇安仁大道1599号;安仁大道辅路,集美北大道-安仁大道辅路交叉路口;厦门鹭燕制药有限公司,厦门中林机械有限公司,立林大厦宿舍楼",闽D1YX58,西南(231),"118.001885,24.600808"
