origin,destination,origin_location,destination_location,distance_r,duration_r
2243658.0,761.0,"118.155633,24.48001","118.166637,24.476225",2800.000000000004,1019.0000000000001
761.0,2229990.0,"118.166637,24.476225","118.174227,24.48246",2969.999999999999,1617.0
2229990.0,876123.0,"118.174227,24.48246","118.171656,24.506569",5539.999999999999,1140.0
876123.0,978080.0,"118.171656,24.506569","118.171598,24.506673",9.99999999999801,30.000000000000004
978080.0,1394159.0,"118.171598,24.506673","118.127328,24.495453",212780.0,340029.0
1394159.0,1950.0,"118.127328,24.495453","118.118084,24.483302",1970.0000000000273,1401.0
1950.0,1289781.0,"118.118084,24.483302","118.128624,24.491419",1829.999999999984,298.0
1289781.0,1754561.0,"118.128624,24.491419","118.143564,24.500589",8670.000000000016,5448.0
1754561.0,2242363.0,"118.143564,24.500589","118.003056,24.598851",19569.999999999993,1172.0
2242363.0,2205885.0,"118.003056,24.598851","118.136256,24.506544",31060.000000000004,17218.0
2205885.0,1081.0,"118.136256,24.506544","117.998953,24.603775",36359.999999999956,59611.00000000001
1081.0,44313.0,"117.998953,24.603775","118.101508,24.524826",0.0,6206.0
44313.0,69.0,"118.101508,24.524826","118.10097,24.514966",3500.0,1584.0
69.0,39813.0,"118.10097,24.514966","118.098893,24.514247",980.0000000000182,142.0
39813.0,2242442.0,"118.098893,24.514247","118.100718,24.5045",3250.0,990.0000000000001
2242442.0,2238264.0,"118.100718,24.5045","118.107614,24.513889",26760.000000000047,15302.000000000002
2238264.0,34535.0,"118.107614,24.513889","118.111892,24.517586",829.9999999999841,240.00000000000003
34535.0,2154236.0,"118.111892,24.517586","118.083721,24.46273",55149.99999999998,61468.00000000001
2154236.0,31859.0,"118.083721,24.46273","118.086304,24.465156",1210.0000000000364,180.0
31859.0,2246653.0,"118.086304,24.465156","118.074522,24.465697",4079.999999999984,2162.0
2246653.0,2208454.0,"118.074522,24.465697","118.103493,24.51181",2600.0000000000227,2018.0000000000002
2208454.0,67.0,"118.103493,24.51181","118.093973,24.507117",26280.000000000087,18322.0
67.0,263.0,"118.093973,24.507117","118.168512,24.503925",3199.999999999932,542.0
263.0,12907.0,"118.168512,24.503925","118.122023,24.508836",61340.00000000003,237687.00000000003
12907.0,31079.0,"118.122023,24.508836","118.119238,24.485141",28620.000000000004,16536.0
31079.0,748.0,"118.119238,24.485141","118.121948,24.48481",419.9999999999591,90.0
748.0,180.0,"118.121948,24.48481","118.135051,24.492742",2340.000000000032,360.0
180.0,84.0,"118.135051,24.492742","118.138548,24.493017",480.0000000000182,120.00000000000001
84.0,1766588.0,"118.138548,24.493017","118.244774,24.600472",41009.99999999999,3104.0
1766588.0,2225701.0,"118.244774,24.600472","118.271569,24.66968",52920.00000000007,7249.0
2225701.0,28670.0,"118.271569,24.66968","118.095372,24.467691",188829.99999999994,80323.0
28670.0,1846597.0,"118.095372,24.467691","118.094021,24.467701",150.00000000009095,60.00000000000001
1846597.0,388598.0,"118.094021,24.467701","118.090203,24.469953",639.9999999998727,150.0
388598.0,2246646.0,"118.090203,24.469953","118.074771,24.465806",3400.000000000091,1989.0000000000002
2246646.0,14219.0,"118.074771,24.465806","118.224097,24.660921",124819.99999999994,256222.00000000003
14219.0,2237274.0,"118.224097,24.660921","118.092163,24.479776",26119.99999999989,2761.0
2237274.0,2207858.0,"118.092163,24.479776","118.097583,24.471837",1620.0000000001182,1801.0
2207858.0,1777217.0,"118.097583,24.471837","118.0904,24.470215",990.0000000000091,509.00000000000006
1777217.0,49937.0,"118.0904,24.470215","118.074076,24.465147",1960.0000000000364,660.0
49937.0,366.0,"118.074076,24.465147","118.127506,24.490292",26879.999999999884,6722.0
366.0,201.0,"118.127506,24.490292","118.136704,24.520738",27320.000000000164,17796.0
201.0,2238807.0,"118.136704,24.520738","118.141039,24.504156",9169.999999999845,4235.0
2238807.0,936173.0,"118.141039,24.504156","118.136087,24.506723",1300.000000000182,840.0
936173.0,1907.0,"118.136087,24.506723","118.081094,24.466325",61609.9999999999,57729.0
1907.0,2203048.0,"118.081094,24.466325","118.076838,24.463027",3980.000000000018,4599.0
2203048.0,58090.0,"118.076838,24.463027","118.093983,24.46772",4079.9999999999272,780.0
58090.0,2226347.0,"118.093983,24.46772","118.093216,24.470299",290.000000000191,90.0
2226347.0,20738.0,"118.093216,24.470299","118.087676,24.492407",55100.00000000014,58215.0
