origin,destination,origin_location,destination_location,distance,duration,distance_r,duration_r,distance_ratio,duration_ratio
1523453,762,"118.136807,24.480001","118.155633,24.48001",2711,658,2990,871,1.1029140538546662,1.3237082066869301
762,754,"118.155633,24.48001","118.164853,24.475351",2176,472,2450,689,1.1259191176470589,1.4597457627118644
754,761,"118.164853,24.475351","118.166637,24.476225",1726,504,280,60,0.16222479721900349,0.11904761904761904
761,1101,"118.166637,24.476225","118.167494,24.471628",1811,466,700,210,0.3865267807840972,0.45064377682403434
1101,2229990,"118.167494,24.471628","118.173857,24.481457",2174,490,2090,1207,0.9613615455381784,2.463265306122449
2229990,55906,"118.173857,24.481457","118.181231,24.482964",1429,345,910,180,0.6368089573128062,0.5217391304347826
55906,910268,"118.181231,24.482964","118.171656,24.506569",4515,1088,4630,870,1.02547065337763,0.7996323529411765
243,4846,"118.109172,24.530718","118.107147,24.52815",378,100,450,180,1.1904761904761905,1.8
4846,392118,"118.107147,24.52815","118.096726,24.507199",3722,689,6280,2042,1.6872649113379903,2.963715529753266
392118,201,"118.096726,24.507199","118.135838,24.519968",5816,1025,6150,2142,1.0574277854195324,2.0897560975609757
201,2075,"118.135838,24.519968","118.120724,24.516732",3864,768,1680,270,0.43478260869565216,0.3515625
2075,73,"118.120724,24.516732","118.11336,24.518675",2803,571,1900,570,0.6778451658936854,0.9982486865148862
2203048,2242363,"118.075962,24.462928","118.003227,24.598651",23880,1731,23330,1830,0.9769681742043551,1.0571923743500866
2773991,177,"118.00358,24.602043","118.14252,24.501195",22394,1876,22490,2971,1.0042868625524695,1.5836886993603412
177,1394159,"118.14252,24.501195","118.127328,24.495453",2641,586,22380,4838,8.474062854979175,8.255972696245733
1394159,1709538,"118.127328,24.495453","118.126172,24.493128",1288,349,360,120,0.2795031055900621,0.3438395415472779
1709538,554,"118.126172,24.493128","118.118101,24.483434",2138,559,1590,648,0.7436856875584659,1.1592128801431127
554,1289781,"118.118101,24.483434","118.128624,24.491419",1757,397,1830,298,1.041548093340922,0.7506297229219143
1289781,180,"118.128624,24.491419","118.135124,24.492825",1496,519,1230,211,0.8221925133689839,0.40655105973025046
180,5925,"118.135124,24.492825","118.133892,24.495876",1115,363,420,90,0.37668161434977576,0.24793388429752067
5925,2737,"118.133892,24.495876","118.146194,24.495962",2447,471,4650,3769,1.9002860645688597,8.00212314225053
2737,395856,"118.146194,24.495962","118.143033,24.496278",658,186,1660,329,2.522796352583587,1.7688172043010753
395856,2228989,"118.143033,24.496278","118.146389,24.524892",4706,869,26090,3872,5.543986400339992,4.455696202531645
2228989,2239388,"118.146389,24.524892","118.136256,24.506544",4350,931,4290,1380,0.9862068965517241,1.4822771213748658
2239388,99,"118.136256,24.506544","117.998953,24.603775",20305,1685,1390,3510,0.06845604530903718,2.083086053412463
99,209,"117.998953,24.603775","118.101986,24.529926",15451,1043,15600,3484,1.0096433887774254,3.340364333652924
209,28470,"118.101986,24.529926","118.101508,24.524826",2521,381,1610,780,0.6386354621182071,2.047244094488189
28470,69,"118.101508,24.524826","118.101031,24.514972",2541,537,3500,841,1.3774104683195592,1.5661080074487896
69,39813,"118.101031,24.514972","118.098893,24.514247",517,181,980,142,1.8955512572533848,0.7845303867403315
39813,1185186,"118.098893,24.514247","118.092053,24.504796",1936,462,2370,841,1.2241735537190082,1.8203463203463204
1185186,2242442,"118.092053,24.504796","118.100718,24.5045",884,166,880,119,0.995475113122172,0.7168674698795181
2242442,1610552,"118.100718,24.5045","118.103293,24.505503",361,96,290,60,0.8033240997229917,0.625
1610552,2645,"118.103293,24.505503","118.117029,24.509554",3061,725,1850,360,0.6043776543613198,0.496551724137931
2645,22103,"118.117029,24.509554","118.1068,24.508929",2148,480,7070,3310,3.2914338919925514,6.895833333333333
22103,53393,"118.1068,24.508929","118.107271,24.50907",94,48,560,114,5.957446808510638,2.375
53393,2238264,"118.107271,24.50907","118.107614,24.513889",1060,445,1770,516,1.669811320754717,1.1595505617977528
2238264,34535,"118.107614,24.513889","118.111892,24.517586",938,357,830,240,0.8848614072494669,0.6722689075630253
34535,271153,"118.111892,24.517586","118.113586,24.515297",587,264,400,121,0.6814310051107325,0.4583333333333333
271153,2246646,"118.113586,24.515297","118.073867,24.466981",8841,1289,23080,2013,2.610564415790069,1.561675717610551
2246646,369,"118.073867,24.466981","118.083721,24.46273",1586,463,850,150,0.5359394703656999,0.32397408207343414
369,1281,"118.083721,24.46273","118.086304,24.465156",718,205,1210,180,1.6852367688022285,0.8780487804878049
1281,1095,"118.086304,24.465156","118.086965,24.462305",564,194,590,90,1.0460992907801419,0.4639175257731959
1095,766,"118.086965,24.462305","118.081724,24.464824",1046,290,1380,661,1.3193116634799236,2.279310344827586
766,1907,"118.081724,24.464824","118.08093,24.466967",1448,443,250,90,0.17265193370165746,0.20316027088036118
1907,43173,"118.08093,24.466967","118.077735,24.464084",534,169,720,420,1.348314606741573,2.485207100591716
43173,89172,"118.077735,24.464084","118.078247,24.464045",34,12,50,60,1.4705882352941178,5.0
89172,62053,"118.078247,24.464045","118.078481,24.464048",470,159,30,30,0.06382978723404255,0.18867924528301888
1867146,2242143,"118.160071,24.531996","118.102524,24.513351",7785,1068,510,210,0.06551059730250482,0.19662921348314608
2242143,2208454,"118.102524,24.513351","118.103493,24.51181",1436,295,460,150,0.3203342618384401,0.5084745762711864
1419,67,"118.110175,24.509757","118.093973,24.507117",2777,578,2350,569,0.8462369463449766,0.9844290657439446
67,263,"118.093973,24.507117","118.168512,24.503925",11664,1510,3120,392,0.2674897119341564,0.2596026490066225
263,1235440,"118.168512,24.503925","118.16231,24.520458",5014,780,2320,511,0.4627044276027124,0.6551282051282051
1235440,190,"118.16231,24.520458","118.150804,24.525677",2126,572,26990,3600,12.695202257761053,6.293706293706293
190,508,"118.150804,24.525677","118.128607,24.504591",4601,987,7670,1802,1.6670289067594002,1.8257345491388044
508,12907,"118.128607,24.504591","118.122023,24.508836",1254,246,970,600,0.773524720893142,2.4390243902439024
12907,2034517,"118.122023,24.508836","118.122818,24.501754",3033,657,22440,2432,7.398615232443126,3.7016742770167426
2034517,24324,"118.122818,24.501754","118.14193,24.49927",4945,688,2170,870,0.43882709807886755,1.2645348837209303
