origin,destination,origin_location,destination_location,distance,duration,distance_r,duration_r
1523453,762,"118.136807,24.480001","118.155633,24.48001",2711,658,2990,871
762,754,"118.155633,24.48001","118.164853,24.475351",2176,472,2450,689
754,761,"118.164853,24.475351","118.166637,24.476225",1726,504,280,60
761,1101,"118.166637,24.476225","118.167494,24.471628",1811,466,700,210
1101,2229990,"118.167494,24.471628","118.173857,24.481457",2174,490,2090,1207
2229990,55906,"118.173857,24.481457","118.181231,24.482964",1429,345,910,180
55906,910268,"118.181231,24.482964","118.171656,24.506569",4515,1088,4630,870
910268,243,"118.171656,24.506569","118.109172,24.530718",10852,1070,39390,15953
243,4846,"118.109172,24.530718","118.107147,24.52815",378,100,450,180
4846,392118,"118.107147,24.52815","118.096726,24.507199",3722,689,6280,2042
392118,201,"118.096726,24.507199","118.135838,24.519968",5816,1025,6150,2142
201,2075,"118.135838,24.519968","118.120724,24.516732",3864,768,1680,270
2075,73,"118.120724,24.516732","118.11336,24.518675",2803,571,1900,570
73,1081,"118.11336,24.518675","117.998313,24.604523",19078,1636,28200,231688
2203048,2242363,"118.075962,24.462928","118.003227,24.598651",23880,1731,23330,1830
2242363,2773991,"118.003227,24.598651","118.00358,24.602043",1869,483,990,13475
2773991,177,"118.00358,24.602043","118.14252,24.501195",22394,1876,22490,2971
177,1394159,"118.14252,24.501195","118.127328,24.495453",2641,586,22380,4838
1394159,1709538,"118.127328,24.495453","118.126172,24.493128",1288,349,360,120
1709538,554,"118.126172,24.493128","118.118101,24.483434",2138,559,1590,648
554,1289781,"118.118101,24.483434","118.128624,24.491419",1757,397,1830,298
1289781,180,"118.128624,24.491419","118.135124,24.492825",1496,519,1230,211
180,5925,"118.135124,24.492825","118.133892,24.495876",1115,363,420,90
5925,2737,"118.133892,24.495876","118.146194,24.495962",2447,471,4650,3769
2737,395856,"118.146194,24.495962","118.143033,24.496278",658,186,1660,329
395856,2228989,"118.143033,24.496278","118.146389,24.524892",4706,869,26090,3872
2228989,2239388,"118.146389,24.524892","118.136256,24.506544",4350,931,4290,1380
2239388,99,"118.136256,24.506544","117.998953,24.603775",20305,1685,1390,3510
99,209,"117.998953,24.603775","118.101986,24.529926",15451,1043,15600,3484
209,28470,"118.101986,24.529926","118.101508,24.524826",2521,381,1610,780
28470,69,"118.101508,24.524826","118.101031,24.514972",2541,537,3500,841
69,39813,"118.101031,24.514972","118.098893,24.514247",517,181,980,142
39813,1185186,"118.098893,24.514247","118.092053,24.504796",1936,462,2370,841
1185186,2242442,"118.092053,24.504796","118.100718,24.5045",884,166,880,119
2242442,1610552,"118.100718,24.5045","118.103293,24.505503",361,96,290,60
1610552,2645,"118.103293,24.505503","118.117029,24.509554",3061,725,1850,360
2645,22103,"118.117029,24.509554","118.1068,24.508929",2148,480,7070,3310
22103,53393,"118.1068,24.508929","118.107271,24.50907",94,48,560,114
