序号,定位时间,行驶速度,行驶里程,已停留/总停留,车辆状态,地理位置,车牌号码,行驶方向,location,TRANSID,INCEPTADDR
377,9/1/2023 8:21,12 km/h,28.5 km, ,在线 / 行驶,"福建省厦门市集美区杏林街道杏滨路2-2号楼;228国道,杏锦路辅路-文滨路交叉路口;文滨公园,杏林街道铁路护路工作站,厦门市洪合顺贸易有限公司",闽D0TL89,东南(116),"118.056943,24.57148",110,杏林街道苑亭路15号
438,9/1/2023 8:42,29 km/h,41.5 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山西路30号;龙翔花园,流芳里,皮尔萨水管",闽D0TL89,偏南(195),"118.13171,24.492409",1367257,厦门市湖里区吕岭路55号之5
439,9/1/2023 8:43,27 km/h,41.63 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山西路16号;软件园二期/金尚路/吕岭路出口,莲花五村文明雅苑,成功大道入口",闽D0TL89,西南(206),"118.131221,24.491282",1661,厦门思明区吕岭路86号、88号(一层及夹层）
440,9/1/2023 8:43,27 km/h,41.64 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山西路16号;软件园二期/金尚路/吕岭路出口,莲花五村文明雅苑,成功大道入口",闽D0TL89,西南(205),"118.131188,24.491219",1661,厦门思明区吕岭路86号、88号(一层及夹层）
443,9/1/2023 8:43,21 km/h,41.93 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山路9号-4;亨龙置业,莲花天伦花园,和光里-36号",闽D0TL89,西南(229),"118.129472,24.489105",12896,思明区吕岭路4号之六、之七
444,9/1/2023 8:44,13 km/h,41.99 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;谊爱路20号;新城海世界1期,亨龙置业,亨龙企业大厦",闽D0TL89,西南(221),"118.129084,24.488758",2238872,厦门市思明区嘉禾路190-125号
445,9/1/2023 8:44,12 km/h,42.02 km, ,在线 / 行驶,福建省厦门市思明区;成功大道X405;武夷山私房菜,闽D0TL89,西南(214),"118.128903,24.488544",2238872,厦门市思明区嘉禾路190-125号
616,9/1/2023 9:15,21 km/h,47.37 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道洪莲路17-121号;洪莲路,莲前东路-洪莲路交叉路口;小鲜肉烤串屋の烧烤叔叔(牛庄洪文店),鑫旺旺汤包(瑞景店),兄妹连潮汕鲜牛肉火锅(联丰店)",闽D0TL89,偏南(187),"118.155506,24.480178",2243658,厦门市思明区洪莲中路42号店面
617,9/1/2023 9:15,17 km/h,47.38 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道洪文五里79号;洪莲路,莲前东路-洪莲路交叉路口;阿青龙虾(瑞景店),小鲜肉烤串屋の烧烤叔叔(牛庄洪文店),鑫旺旺汤包(瑞景店)",闽D0TL89,偏南(175),"118.155501,24.48008",2243658,厦门市思明区洪莲中路42号店面
618,9/1/2023 9:15,14 km/h,47.39 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道洪文五里79号;洪莲路,莲前东路-洪莲路交叉路口;阿青龙虾(瑞景店),小鲜肉烤串屋の烧烤叔叔(牛庄洪文店),鑫旺旺汤包(瑞景店)",闽D0TL89,东南(136),"118.155529,24.480003",2243658,厦门市思明区洪莲中路42号店面
