序号,定位时间,行驶速度,行驶里程,已停留/总停留,车辆状态,地理位置,车牌号码,行驶方向,location,TRANSID,INCEPTADDR
377,2023-09-01 08:21:02,12 km/h,28.5 km, ,在线 / 行驶,"福建省厦门市集美区杏林街道杏滨路2-2号楼;228国道,杏锦路辅路-文滨路交叉路口;文滨公园,杏林街道铁路护路工作站,厦门市洪合顺贸易有限公司",闽D0TL89,东南(116),"118.056943,24.57148",110.0,杏林街道苑亭路15号
378,2023-09-01 08:21:32,9 km/h,28.54 km, ,在线 / 行驶,"福建省厦门市集美区杏林街道;杏滨路2号;华创小区,豪欣公寓,厦门地铁大厦",闽D0TL89,东南(115),"118.057281,24.571343",21884.0,厦门市集美区杏林街道宛亭路6号
431,2023-09-01 08:40:34,64 km/h,40.54 km, ,在线 / 行驶,"福建省厦门市湖里区江头街道;江头立交;小米之家(江头电信店),锦丰食杂批发,福龙公寓",闽D0TL89,偏南(193),"118.132905,24.500948",2239218.0,厦门市湖里区禾山路28-1-101号
438,2023-09-01 08:42:42,29 km/h,41.5 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山西路30号;龙翔花园,流芳里,皮尔萨水管",闽D0TL89,偏南(195),"118.13171,24.492409",1367257.0,厦门市湖里区吕岭路55号之5
439,2023-09-01 08:43:00,27 km/h,41.63 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山西路16号;软件园二期/金尚路/吕岭路出口,莲花五村文明雅苑,成功大道入口",闽D0TL89,西南(206),"118.131221,24.491282",1661.0,厦门思明区吕岭路86号、88号(一层及夹层）
440,2023-09-01 08:43:03,27 km/h,41.64 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山西路16号;软件园二期/金尚路/吕岭路出口,莲花五村文明雅苑,成功大道入口",闽D0TL89,西南(205),"118.131188,24.491219",1661.0,厦门思明区吕岭路86号、88号(一层及夹层）
441,2023-09-01 08:43:21,17 km/h,41.78 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山西路10号;和光里,普利司通轮胎(龙山西路店),金致汽车维修养护中心",闽D0TL89,西南(217),"118.130503,24.490127",2958.0,*吕岭路52号安保大厦
443,2023-09-01 08:43:51,21 km/h,41.93 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;龙山路9号-4;亨龙置业,莲花天伦花园,和光里-36号",闽D0TL89,西南(229),"118.129472,24.489105",12896.0,思明区吕岭路4号之六、之七
444,2023-09-01 08:44:03,13 km/h,41.99 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;谊爱路20号;新城海世界1期,亨龙置业,亨龙企业大厦",闽D0TL89,西南(221),"118.129084,24.488758",12896.0,思明区吕岭路4号之六、之七
445,2023-09-01 08:44:09,12 km/h,42.02 km, ,在线 / 行驶,福建省厦门市思明区;成功大道X405;武夷山私房菜,闽D0TL89,西南(214),"118.128903,24.488544",2238872.0,厦门市思明区嘉禾路190-125号
456,2023-09-01 08:45:55,29 km/h,42.83 km, ,在线 / 行驶,"福建省厦门市思明区嘉莲街道;梧村隧道;厦门莲坂新小区,厦门水务集团有限公司,水务大厦",闽D0TL89,偏南(184),"118.125203,24.482323",2258989.0,厦门市思明区莲花南路9-102号
457,2023-09-01 08:46:01,0 km/h,42.83 km,0秒 / 2分3秒,在线 / 无效定位,"福建省厦门市思明区嘉莲街道;梧村隧道;厦门莲坂新小区,厦门水务集团有限公司,水务大厦",闽D0TL89,正北(0),"118.125203,24.482323",2258989.0,厦门市思明区莲花南路9-102号
458,2023-09-01 08:46:04,0 km/h,42.83 km,3秒 / 2分3秒,在线 / 无效定位,"福建省厦门市思明区嘉莲街道;梧村隧道;厦门莲坂新小区,厦门水务集团有限公司,水务大厦",闽D0TL89,正北(0),"118.125203,24.482323",2258989.0,厦门市思明区莲花南路9-102号
459,2023-09-01 08:46:34,0 km/h,42.83 km,33秒 / 2分3秒,在线 / 无效定位,"福建省厦门市思明区嘉莲街道;梧村隧道;厦门莲坂新小区,厦门水务集团有限公司,水务大厦",闽D0TL89,正北(0),"118.125203,24.482323",2258989.0,厦门市思明区莲花南路9-102号
460,2023-09-01 08:47:04,0 km/h,42.83 km,1分3秒 / 2分3秒,在线 / 无效定位,"福建省厦门市思明区嘉莲街道;梧村隧道;厦门莲坂新小区,厦门水务集团有限公司,水务大厦",闽D0TL89,正北(0),"118.125203,24.482323",2258989.0,厦门市思明区莲花南路9-102号
461,2023-09-01 08:47:34,0 km/h,42.83 km,1分33秒 / 2分3秒,在线 / 无效定位,"福建省厦门市思明区嘉莲街道;梧村隧道;厦门莲坂新小区,厦门水务集团有限公司,水务大厦",闽D0TL89,正北(0),"118.125203,24.482323",2258989.0,厦门市思明区莲花南路9-102号
462,2023-09-01 08:48:04,0 km/h,42.83 km,2分3秒 / 2分3秒,在线 / 无效定位,"福建省厦门市思明区嘉莲街道;梧村隧道;厦门莲坂新小区,厦门水务集团有限公司,水务大厦",闽D0TL89,正北(0),"118.125203,24.482323",2258989.0,厦门市思明区莲花南路9-102号
616,2023-09-01 09:15:49,21 km/h,47.37 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道洪莲路17-121号;洪莲路,莲前东路-洪莲路交叉路口;小鲜肉烤串屋の烧烤叔叔(牛庄洪文店),鑫旺旺汤包(瑞景店),兄妹连潮汕鲜牛肉火锅(联丰店)",闽D0TL89,偏南(187),"118.155506,24.480178",762.0,厦门市思明区洪莲中路44号之一
617,2023-09-01 09:15:51,17 km/h,47.38 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道洪文五里79号;洪莲路,莲前东路-洪莲路交叉路口;阿青龙虾(瑞景店),小鲜肉烤串屋の烧烤叔叔(牛庄洪文店),鑫旺旺汤包(瑞景店)",闽D0TL89,偏南(175),"118.155501,24.48008",762.0,厦门市思明区洪莲中路44号之一
618,2023-09-01 09:15:53,14 km/h,47.39 km, ,在线 / 行驶,"福建省厦门市思明区莲前街道洪文五里79号;洪莲路,莲前东路-洪莲路交叉路口;阿青龙虾(瑞景店),小鲜肉烤串屋の烧烤叔叔(牛庄洪文店),鑫旺旺汤包(瑞景店)",闽D0TL89,东南(136),"118.155529,24.480003",762.0,厦门市思明区洪莲中路44号之一
619,2023-09-01 09:15:55,9 km/h,47.4 km, ,在线 / 行驶,"福建省厦门市思明区;洪莲里22号;洪莲里,聚丰新城,联丰新城",闽D0TL89,偏东(74),"118.155583,24.479988",762.0,厦门市思明区洪莲中路44号之一
620,2023-09-01 09:15:57,5 km/h,47.4 km, ,在线 / 行驶,"福建省厦门市思明区;洪莲里22号;洪莲里,聚丰新城,联丰新城",闽D0TL89,东北(52),"118.155619,24.480002",2243658.0,厦门市思明区洪莲中路42号店面
