序号,定位时间,行驶速度,行驶里程,已停留/总停留,车辆状态,地理位置,车牌号码,行驶方向,location,TRANSID,INCEPTADDR
211,2023-09-01 07:07:58,42 km/h,4.07 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道;枋钟路辅路;空港云立方,厦门紫金科技大楼,紫金宾馆(翔云三路店)",闽D0TL89,西南(228),"118.128105,24.531552",568.0,湖里区殿前街道翔云一路100号
212,2023-09-01 07:08:11,39 km/h,4.23 km, ,在线 / 行驶,"福建省厦门市湖里区殿前街道枋钟路1679号;枋钟路,火炬北路-枋钟路交叉路口;鲤正记金丝牛肉饼(安兜店),华莱士(林后店),薄荷森林林后店",闽D0TL89,西南(241),"118.126843,24.530701",568.0,湖里区殿前街道翔云一路100号
253,2023-09-01 07:18:53,58 km/h,14.13 km, ,在线 / 行驶,"福建省厦门市集美区杏林街道;杏前路18-19号;诚礼楼,华舒酒店,厦门市杏苑小区",闽D0TL89,偏西(276),"118.050001,24.573475",1087903.0,厦门市集美区杏林街道内林村洪厝135号
256,2023-09-01 07:19:58,23 km/h,14.59 km, ,在线 / 行驶,"福建省厦门市集美区杏林街道;G319(杏前路);锦秀园建材,厦杏大厦,厦门市公安局集美区分局",闽D0TL89,偏西(276),"118.04549,24.573939",100.0,集美区杏北路25号
285,2023-09-01 07:27:07,20 km/h,20.42 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇;集美北大道1030号;厦门燕来福制药有限公司-东北门,视捷自动化科技(厦门)有限公司,厦门思诺威自动化科技有限公司",闽D0TL89,东北(31),"118.00354,24.601637",2773991.0,厦门市集美区安仁里7号104-2室、104-3室
286,2023-09-01 07:27:09,20 km/h,20.43 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇;集美北大道1030号;厦门燕来福制药有限公司-东北门,视捷自动化科技(厦门)有限公司,厦门思诺威自动化科技有限公司",闽D0TL89,偏北(5),"118.003576,24.601728",2773991.0,厦门市集美区安仁里7号104-2室、104-3室
287,2023-09-01 07:27:11,25 km/h,20.43 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇;集美北大道1030号;厦门燕来福制药有限公司-东北门,格林后,厦门思诺威自动化科技有限公司",闽D0TL89,偏北(354),"118.003573,24.601786",2773991.0,厦门市集美区安仁里7号104-2室、104-3室
342,2023-09-01 08:12:22,7 km/h,21.17 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇安仁大道1501号;安仁大道辅路,安仁大道辅路-铁山路交叉路口;湘祁饭店,湘泥辣石锅鱼,客家湖洋蒸鸡",闽D0TL89,西北(299),"118.00016,24.60229",3154068.0,厦门市集美区灌口镇安仁大道1196号
343,2023-09-01 08:12:31,18 km/h,21.19 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇;安仁大道1501;兴永嵩超市,联杰公寓,安仁里小区",闽D0TL89,西北(311),"117.99999,24.602398",3154068.0,厦门市集美区灌口镇安仁大道1196号
344,2023-09-01 08:12:33,22 km/h,21.2 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇;安仁大道1501;兴永嵩超市,联杰公寓,安仁里小区",闽D0TL89,西北(315),"117.999949,24.602434",3154068.0,厦门市集美区灌口镇安仁大道1196号
345,2023-09-01 08:12:35,23 km/h,21.21 km, ,在线 / 行驶,"福建省厦门市集美区灌口镇;安仁大道1501;兴永嵩超市,联杰公寓,安仁里小区",闽D0TL89,西北(323),"117.999866,24.602515",3154068.0,厦门市集美区灌口镇安仁大道1196号
