序号,定位时间,行驶速度,行驶里程,已停留/总停留,车辆状态,地理位置,车牌号码,行驶方向,location,TRANSID,INCEPTADDR
516,2023-09-01 08:58:03,0 km/h,44.41 km,0秒 / 3分31秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;西林路,西林路-莲前西路交叉路口;太川大楼,中国工商银行(厦门东区支行),中国农业银行(厦门金鸡亭支行)",闽D0TL89,正北(0),"118.136807,24.480001",1523453.0,厦门市思明区莲前西路365号17C室
517,2023-09-01 08:58:33,0 km/h,44.41 km,30秒 / 3分31秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;西林路,西林路-莲前西路交叉路口;太川大楼,中国工商银行(厦门东区支行),中国农业银行(厦门金鸡亭支行)",闽D0TL89,正北(0),"118.136807,24.480001",1523453.0,厦门市思明区莲前西路365号17C室
518,2023-09-01 08:59:03,0 km/h,44.41 km,1分 / 3分31秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;西林路,西林路-莲前西路交叉路口;太川大楼,中国工商银行(厦门东区支行),中国农业银行(厦门金鸡亭支行)",闽D0TL89,正北(0),"118.136807,24.480001",1523453.0,厦门市思明区莲前西路365号17C室
519,2023-09-01 08:59:33,0 km/h,44.41 km,1分30秒 / 3分31秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;西林路,西林路-莲前西路交叉路口;太川大楼,中国工商银行(厦门东区支行),中国农业银行(厦门金鸡亭支行)",闽D0TL89,正北(0),"118.136807,24.480001",1523453.0,厦门市思明区莲前西路365号17C室
520,2023-09-01 09:00:03,0 km/h,44.41 km,2分 / 3分31秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;西林路,西林路-莲前西路交叉路口;太川大楼,中国工商银行(厦门东区支行),中国农业银行(厦门金鸡亭支行)",闽D0TL89,正北(0),"118.136807,24.480001",1523453.0,厦门市思明区莲前西路365号17C室
521,2023-09-01 09:00:33,0 km/h,44.41 km,2分30秒 / 3分31秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;西林路,西林路-莲前西路交叉路口;太川大楼,中国工商银行(厦门东区支行),中国农业银行(厦门金鸡亭支行)",闽D0TL89,正北(0),"118.136807,24.480001",1523453.0,厦门市思明区莲前西路365号17C室
522,2023-09-01 09:01:04,0 km/h,44.41 km,3分1秒 / 3分31秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;西林路,西林路-莲前西路交叉路口;太川大楼,中国工商银行(厦门东区支行),中国农业银行(厦门金鸡亭支行)",闽D0TL89,正北(0),"118.136807,24.480001",1523453.0,厦门市思明区莲前西路365号17C室
523,2023-09-01 09:01:34,0 km/h,44.41 km,3分31秒 / 3分31秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;西林路,西林路-莲前西路交叉路口;太川大楼,中国工商银行(厦门东区支行),中国农业银行(厦门金鸡亭支行)",闽D0TL89,正北(0),"118.136807,24.480001",1523453.0,厦门市思明区莲前西路365号17C室
621,2023-09-01 09:16:05,0 km/h,47.4 km,0秒 / 0秒,在线 / 停车 / ACC开,"福建省厦门市思明区;洪莲里22号;洪莲里,聚丰新城,联丰新城",闽D0TL89,正北(0),"118.155633,24.48001",762.0,厦门市思明区洪莲中路44号之一
631,2023-09-01 09:17:05,0 km/h,47.47 km,0秒 / 3分,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道洪莲路17号114;洪莲路,莲前东路-洪莲路交叉路口;阿泉烧烤(洪莲店),猪角·闽南猪脚饭(洪莲路店),慕尚军哥烤肉(洪莲里店)",闽D0TL89,正北(0),"118.155694,24.480661",762.0,厦门市思明区洪莲中路44号之一
632,2023-09-01 09:17:35,0 km/h,47.47 km,30秒 / 3分,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道洪莲路17号114;洪莲路,莲前东路-洪莲路交叉路口;阿泉烧烤(洪莲店),猪角·闽南猪脚饭(洪莲路店),慕尚军哥烤肉(洪莲里店)",闽D0TL89,正北(0),"118.155694,24.480661",762.0,厦门市思明区洪莲中路44号之一
633,2023-09-01 09:18:05,0 km/h,47.47 km,1分 / 3分,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道洪莲路17号114;洪莲路,莲前东路-洪莲路交叉路口;阿泉烧烤(洪莲店),猪角·闽南猪脚饭(洪莲路店),慕尚军哥烤肉(洪莲里店)",闽D0TL89,正北(0),"118.155694,24.480661",762.0,厦门市思明区洪莲中路44号之一
634,2023-09-01 09:18:35,0 km/h,47.47 km,1分30秒 / 3分,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道洪莲路17号114;洪莲路,莲前东路-洪莲路交叉路口;阿泉烧烤(洪莲店),猪角·闽南猪脚饭(洪莲路店),慕尚军哥烤肉(洪莲里店)",闽D0TL89,正北(0),"118.155694,24.480661",762.0,厦门市思明区洪莲中路44号之一
635,2023-09-01 09:19:05,0 km/h,47.47 km,2分 / 3分,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道洪莲路17号114;洪莲路,莲前东路-洪莲路交叉路口;阿泉烧烤(洪莲店),猪角·闽南猪脚饭(洪莲路店),慕尚军哥烤肉(洪莲里店)",闽D0TL89,正北(0),"118.155694,24.480661",762.0,厦门市思明区洪莲中路44号之一
636,2023-09-01 09:19:35,0 km/h,47.47 km,2分30秒 / 3分,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道洪莲路17号114;洪莲路,莲前东路-洪莲路交叉路口;阿泉烧烤(洪莲店),猪角·闽南猪脚饭(洪莲路店),慕尚军哥烤肉(洪莲里店)",闽D0TL89,正北(0),"118.155694,24.480661",762.0,厦门市思明区洪莲中路44号之一
637,2023-09-01 09:20:05,0 km/h,47.47 km,3分 / 3分,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道洪莲路17号114;洪莲路,莲前东路-洪莲路交叉路口;阿泉烧烤(洪莲店),猪角·闽南猪脚饭(洪莲路店),慕尚军哥烤肉(洪莲里店)",闽D0TL89,正北(0),"118.155694,24.480661",762.0,厦门市思明区洪莲中路44号之一
719,2023-09-01 09:31:34,0 km/h,49.92 km,0秒 / 30秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;莲前东路920-10号;华林花园1期,国家税务总局厦门市思明区税务局莲前税务所,联发紫微花园",闽D0TL89,正北(0),"118.164853,24.475351",754.0,*思明区莲前东路697号
720,2023-09-01 09:32:04,0 km/h,49.92 km,30秒 / 30秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;莲前东路920-10号;华林花园1期,国家税务总局厦门市思明区税务局莲前税务所,联发紫微花园",闽D0TL89,正北(0),"118.164853,24.475351",754.0,*思明区莲前东路697号
731,2023-09-01 09:33:04,0 km/h,50.2 km,0秒 / 30秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;田厝路7号;前埔北区二里,庄总·云聚智慧社区,国贸新城",闽D0TL89,正北(0),"118.166637,24.476225",761.0,前埔西路295号
732,2023-09-01 09:33:34,0 km/h,50.2 km,30秒 / 30秒,在线 / 停车 / ACC开,"福建省厦门市思明区莲前街道;田厝路7号;前埔北区二里,庄总·云聚智慧社区,国贸新城",闽D0TL89,正北(0),"118.166637,24.476225",761.0,前埔西路295号
